Article ID number,filename,Did the article receive a badge for open data?,Does the article state whether or 0t the data are available?,Did the article receive a badge for open materials?,Does the article state whether or 0t any research materials are available?,,,,,,,,,,,,,,,,1-4-2013 CPS,Clinical_Psychological_Science.2013.April.1-4-2013_CPS.txt
1-1-2012 PS,Psychological_Science.2012.January.1-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-4-2013 CPS,Clinical_Psychological_Science.2013.April.10-4-2013_CPS.txt
2-1-2012 PS,Psychological_Science.2012.January.2-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-4-2013 CPS,Clinical_Psychological_Science.2013.April.2-4-2013_CPS.txt
3-1-2012 PS,Psychological_Science.2012.January.3-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-4-2013 CPS,Clinical_Psychological_Science.2013.April.3-4-2013_CPS.txt
4-1-2012 PS,Psychological_Science.2012.January.4-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-4-2013 CPS,Clinical_Psychological_Science.2013.April.4-4-2013_CPS.txt
5-1-2012 PS,Psychological_Science.2012.January.5-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-4-2013 CPS,Clinical_Psychological_Science.2013.April.5-4-2013_CPS.txt
1-2-2012 PS,Psychological_Science.2012.February.1-2-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-4-2013 CPS,Clinical_Psychological_Science.2013.April.6-4-2013_CPS.txt
2-2-2012 PS,Psychological_Science.2012.February.2-2-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,7-4-2013 CPS,Clinical_Psychological_Science.2013.April.7-4-2013_CPS.txt
4-2-2012 PS,Psychological_Science.2012.February.4-2-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,8-4-2013 CPS,Clinical_Psychological_Science.2013.April.8-4-2013_CPS.txt
5-2-2012 PS,Psychological_Science.2012.February.5-2-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,9-4-2013 CPS,Clinical_Psychological_Science.2013.April.9-4-2013_CPS.txt
7-2-2012 PS,Psychological_Science.2012.February.7-2-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-1-2013 CPS,Clinical_Psychological_Science.2013.January.1-1-2013_CPS.txt
8-2-2012 PS,Psychological_Science.2012.February.8-2-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-1-2013 CPS,Clinical_Psychological_Science.2013.January.10-1-2013_CPS.txt
6-2-2012 PS,Psychological_Science.2012.February.6-2-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,2-1-2013 CPS,Clinical_Psychological_Science.2013.January.2-1-2013_CPS.txt
3-2-2012 PS,Psychological_Science.2012.February.3-2-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,3-1-2013 CPS,Clinical_Psychological_Science.2013.January.3-1-2013_CPS.txt
6-1-2012 PS,Psychological_Science.2012.January.6-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-1-2013 CPS,Clinical_Psychological_Science.2013.January.4-1-2013_CPS.txt
7-1-2012 PS,Psychological_Science.2012.January.7-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-1-2013 CPS,Clinical_Psychological_Science.2013.January.5-1-2013_CPS.txt
8-1-2012 PS,Psychological_Science.2012.January.8-1-2012_PS.txt,0,1,0,0,,,,,,,,,,,,,,,,6-1-2013 CPS,Clinical_Psychological_Science.2013.January.6-1-2013_CPS.txt
9-1-2012 PS,Psychological_Science.2012.January.9-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-1-2013 CPS,Clinical_Psychological_Science.2013.January.7-1-2013_CPS.txt
10-1-2012 PS,Psychological_Science.2012.January.10-1-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,8-1-2013 CPS,Clinical_Psychological_Science.2013.January.8-1-2013_CPS.txt
1-1-2014 PS,Psychological_Science.2014.January.1-1-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,9-1-2013 CPS,Clinical_Psychological_Science.2013.January.9-1-2013_CPS.txt
2-1-2014 PS,Psychological_Science.2014.January.2-1-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-7-2013 CPS,Clinical_Psychological_Science.2013.July.1-7-2013_CPS.txt
4-1-2014 PS,Psychological_Science.2014.January.4-1-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-7-2013 CPS,Clinical_Psychological_Science.2013.July.10-7-2013_CPS.txt
1-4-2015 PS,Psychological_Science.2015.April.1-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,11-7-2013 CPS,Clinical_Psychological_Science.2013.July.11-7-2013_CPS.txt
5-4-2015 PS,Psychological_Science.2015.April.5-4-2015_PS.txt,1,1,1,1,,,,,,,,,,,,,,,,2-7-2013 CPS,Clinical_Psychological_Science.2013.July.2-7-2013_CPS.txt
10-4-2015 PS,Psychological_Science.2015.April.10-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-7-2013 CPS,Clinical_Psychological_Science.2013.July.3-7-2013_CPS.txt
15-4-2015 PS,Psychological_Science.2015.April.15-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-7-2013 CPS,Clinical_Psychological_Science.2013.July.4-7-2013_CPS.txt
20-4-2015 PS,Psychological_Science.2015.April.20-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-7-2013 CPS,Clinical_Psychological_Science.2013.July.5-7-2013_CPS.txt
25-4-2015 PS,Psychological_Science.2014.April.25-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-7-2013 CPS,Clinical_Psychological_Science.2013.July.6-7-2013_CPS.txt
1-6-2014 PS,Psychological_Science.2014.June.1-6-2014_PS.txt,1,1,1,1,,,,,,,,,,,,,,,,7-7-2013 CPS,Clinical_Psychological_Science.2013.July.7-7-2013_CPS.txt
5-6-2014 PS,Psychological_Science.2014.June.5-6-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-7-2013 CPS,Clinical_Psychological_Science.2013.July.8-7-2013_CPS.txt
8-6-2014 PS,Psychological_Science.2014.June.8-6-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,9-7-2013 CPS,Clinical_Psychological_Science.2013.July.9-7-2013_CPS.txt
10-6-2014 PS,Psychological_Science.2014.June.10-6-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-10-2013 CPS,Clinical_Psychological_Science.2013.October.1-10-2013_CPS.txt
15-6-2014 PS,Psychological_Science.2014.June.15-6-2014_PS.txt,0,0,1,1,,,,,,,,,,,,,,,,10-10-2013 CPS,Clinical_Psychological_Science.2013.October.10-10-2013_CPS.txt
18-6-2014 PS,Psychological_Science.2014.June.18-6-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-10-2013 CPS,Clinical_Psychological_Science.2013.October.2-10-2013_CPS.txt
11-1-2012 PS,Psychological_Science.2012.January.11-1-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,3-10-2013 CPS,Clinical_Psychological_Science.2013.October.3-10-2013_CPS.txt
12-1-2012 PS,Psychological_Science.2012.January.12-1-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,4-10-2013 CPS,Clinical_Psychological_Science.2013.October.4-10-2013_CPS.txt
13-1-2012 PS,Psychological_Science.2012.January.13-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-10-2013 CPS,Clinical_Psychological_Science.2013.October.5-10-2013_CPS.txt
14-1-2012 PS,Psychological_Science.2012.January.14-1-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,6-10-2013 CPS,Clinical_Psychological_Science.2013.October.6-10-2013_CPS.txt
15-1-2012 PS,Psychological_Science.2012.January.15-1-2012_PS.txt,0,1,0,0,,,,,,,,,,,,,,,,7-10-2013 CPS,Clinical_Psychological_Science.2013.October.7-10-2013_CPS.txt
16-1-2012 PS,Psychological_Science.2012.January.16-1-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-10-2013 CPS,Clinical_Psychological_Science.2013.October.8-10-2013_CPS.txt
17-1-2012 PS,Psychological_Science.2012.January.17-1-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,9-10-2013 CPS,Clinical_Psychological_Science.2013.October.9-10-2013_CPS.txt
1-1-2013 PS,Psychological_Science.2013.January.1-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-1-2014 CPS,Clinical_Psychological_Science.2014.January.1-1-2014_CPS.txt
5-1-2013 PS,Psychological_Science.2013.January.5-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-1-2014 CPS,Clinical_Psychological_Science.2014.January.10-1-2014_CPS.txt
8-1-2013 PS,Psychological_Science.2013.January.8-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,11-1-2014 CPS,Clinical_Psychological_Science.2014.January.11-1-2014_CPS.txt
10-1-2013 PS,Psychological_Science.2013.January.10-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-1-2014 CPS,Clinical_Psychological_Science.2014.January.2-1-2014_CPS.txt
1-12-2013 PS,Psychological_Science.2013.December.1-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-1-2014 CPS,Clinical_Psychological_Science.2014.January.3-1-2014_CPS.txt
15-1-2013 PS,Psychological_Science.2013.January.15-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-1-2014 CPS,Clinical_Psychological_Science.2014.January.4-1-2014_CPS.txt
